,0
tests_KLDiv,2.8313253012048194
tests_min_KLDiv,2.8313253012048194
tests_max_KLDiv,2.8313253012048194
errors_KLDiv,5.22289156626506
errors_min_KLDiv,5.22289156626506
errors_max_KLDiv,5.22289156626506
coverage_KLDiv,79.82530120481928
coverage_min_KLDiv,79.82530120481928
coverage_max_KLDiv,79.82530120481928
total_time_sec_KLDiv,39.36144578313253
total_time_sec_min_KLDiv,39.36144578313253
total_time_sec_max_KLDiv,39.36144578313253
tests_BCE,2.9698795180722892
tests_min_BCE,2.9698795180722892
tests_max_BCE,2.9698795180722892
errors_BCE,5.168674698795181
errors_min_BCE,5.168674698795181
errors_max_BCE,5.168674698795181
coverage_BCE,81.56626506024097
coverage_min_BCE,81.56626506024097
coverage_max_BCE,81.56626506024097
total_time_sec_BCE,36.68674698795181
total_time_sec_min_BCE,36.68674698795181
total_time_sec_max_BCE,36.68674698795181
