,0
tests_V#,4.662650602409639
tests_min_V#,4.662650602409639
tests_max_V#,4.662650602409639
errors_V#,10.91566265060241
errors_min_V#,10.91566265060241
errors_max_V#,10.91566265060241
coverage_V#,86.32530120481928
coverage_min_V#,86.32530120481928
coverage_max_V#,86.32530120481928
total_time_sec_V#,30.867469879518072
total_time_sec_min_V#,30.867469879518072
total_time_sec_max_V#,30.867469879518072
tests_BCE*,2.644578313253012
tests_min_BCE*,2.644578313253012
tests_max_BCE*,2.644578313253012
errors_BCE*,5.126506024096385
errors_min_BCE*,5.126506024096385
errors_max_BCE*,5.126506024096385
coverage_BCE*,77.63855421686748
coverage_min_BCE*,77.63855421686748
coverage_max_BCE*,77.63855421686748
total_time_sec_BCE*,43.39156626506024
total_time_sec_min_BCE*,43.39156626506024
total_time_sec_max_BCE*,43.39156626506024
