,0
tests_V#,3.3398692810457518
tests_min_V#,3.3398692810457518
tests_max_V#,3.3398692810457518
errors_V#,7.4183006535947715
errors_min_V#,7.4183006535947715
errors_max_V#,7.4183006535947715
coverage_V#,83.97385620915033
coverage_min_V#,83.97385620915033
coverage_max_V#,83.97385620915033
total_time_sec_V#,13.908496732026144
total_time_sec_min_V#,13.908496732026144
total_time_sec_max_V#,13.908496732026144
tests_BCE,2.7516339869281046
tests_min_BCE,2.7516339869281046
tests_max_BCE,2.7516339869281046
errors_BCE,3.9084967320261437
errors_min_BCE,3.9084967320261437
errors_max_BCE,3.9084967320261437
coverage_BCE,83.0326797385621
coverage_min_BCE,83.0326797385621
coverage_max_BCE,83.0326797385621
total_time_sec_BCE,32.869281045751634
total_time_sec_min_BCE,32.869281045751634
total_time_sec_max_BCE,32.869281045751634
