,0
tests_BCE,2.950920245398773
tests_min_BCE,2.950920245398773
tests_max_BCE,2.950920245398773
errors_BCE,5.128834355828221
errors_min_BCE,5.128834355828221
errors_max_BCE,5.128834355828221
coverage_BCE,81.97546012269939
coverage_min_BCE,81.97546012269939
coverage_max_BCE,81.97546012269939
total_time_sec_BCE,35.760736196319016
total_time_sec_min_BCE,35.760736196319016
total_time_sec_max_BCE,35.760736196319016
tests_BCEnoRoots,3.233128834355828
tests_min_BCEnoRoots,3.233128834355828
tests_max_BCEnoRoots,3.233128834355828
errors_BCEnoRoots,7.460122699386503
errors_min_BCEnoRoots,7.460122699386503
errors_max_BCEnoRoots,7.460122699386503
coverage_BCEnoRoots,81.99386503067484
coverage_min_BCEnoRoots,81.99386503067484
coverage_max_BCEnoRoots,81.99386503067484
total_time_sec_BCEnoRoots,30.975460122699385
total_time_sec_min_BCEnoRoots,30.975460122699385
total_time_sec_max_BCEnoRoots,30.975460122699385
