,0
tests_BCE,3.206060606060606
tests_min_BCE,3.206060606060606
tests_max_BCE,3.206060606060606
errors_BCE,5.024242424242424
errors_min_BCE,5.024242424242424
errors_max_BCE,5.024242424242424
coverage_BCE,81.51515151515152
coverage_min_BCE,81.51515151515152
coverage_max_BCE,81.51515151515152
total_time_sec_BCE,36.92727272727273
total_time_sec_min_BCE,36.92727272727273
total_time_sec_max_BCE,36.92727272727273
tests_BCE*,2.7151515151515153
tests_min_BCE*,2.7151515151515153
tests_max_BCE*,2.7151515151515153
errors_BCE*,4.872727272727273
errors_min_BCE*,4.872727272727273
errors_max_BCE*,4.872727272727273
coverage_BCE*,77.53333333333333
coverage_min_BCE*,77.53333333333333
coverage_max_BCE*,77.53333333333333
total_time_sec_BCE*,43.38787878787879
total_time_sec_min_BCE*,43.38787878787879
total_time_sec_max_BCE*,43.38787878787879
