keywords_count,lines,file
84,907,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Lists/DLinkedList.cs
83,503,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Calculators/TI83/TI83.cs
81,631,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/GCE/Vectrex/HW_Registers.cs
80,1728,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeParallelHashMap.cs
80,1280,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/Watch/RamWatch.cs
80,853,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/NES/NESPPU.cs
80,793,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/NES.cs
80,403,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/VDP.Mode4.cs
78,1047,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/GB/GBGPUView.cs
77,447,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Intellivision/Intellivision.MemoryMap.cs
77,113,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/68000/Diassembler.cs
76,995,maps/DotNet/Maps/StandaloneUnity/Unity/ShaderGraph/AbstractMaterialNode.cs
76,905,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/ToolManager.cs
76,502,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/Ares64/Ares64.cs
75,540,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/PC Engine/VPC.cs
74,903,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Hardware/Datacorder/DatacorderDevice.cs
73,827,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/RedBlackTree.cs
72,1094,maps/DotNet/Maps/BizHawk/ExternalCoreProjects/Virtu/Video.cs
72,920,maps/DotNet/Maps/StandaloneUnity/Unity/Core/Properties/Properties/PropertyPath.cs
71,1298,maps/DotNet/Maps/ManuallyCollected/BTree.cs
71,735,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/A7800Hawk/Maria.cs
70,773,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Hardware/Datacorder/DatacorderDevice.cs
70,673,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/68000/Instructions/DataMovement.cs
70,389,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/A7800Hawk/TIA_Sound/TIA.cs
69,1110,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/SNES/SNESGraphicsDecoder.cs
69,527,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawkLink3x/GBHawkLink3x.IEmulator.cs
69,304,maps/DotNet/Maps/BizHawk/ExternalProjects/NLua/src/Native/LuaNativeMethodLoader.cs
68,1304,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/BasicBot/BasicBot.cs
68,975,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/BitField.cs
68,810,maps/DotNet/Maps/StandaloneUnity/Unity/Sse4_2.cs
68,453,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/PC Engine/VDC.Render.cs
66,841,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Trees/BinarySearchTreeMap.cs
66,841,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Trees/BinarySearchTreeMap.cs
66,750,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/BTree.cs
65,1596,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/AllocatorManager.cs
65,1216,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscFormats/CHD_format.cs
65,825,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Lists/ArrayList.cs
65,825,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Lists/ArrayList.cs
65,448,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/SMS.cs
64,616,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/AvlTree.cs
62,254,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Magnavox/Odyssey2/O2Hawk.IEmulator.cs
61,1092,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscFormats/NRG_format.cs
61,591,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/movie/import/bkm/BkmControllerAdapter.cs
60,1150,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/NESControllers.cs
60,540,maps/DotNet/Maps/StandaloneUnity/Unity/Core/ExpressionEvaluator.cs
60,509,maps/DotNet/Maps/BizHawk/ExternalProjects/NLua/src/CheckType.cs
59,1517,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/MainForm.VSystem.cs
58,1210,maps/DotNet/Maps/BizHawk/ExternalProjects/NLua/src/ObjectTranslator.cs
58,1026,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/AVOut/AviWriter.cs
58,992,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/RomLoader.cs
58,816,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Trees/BinarySearchTree.cs
58,816,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Trees/BinarySearchTree.cs
58,652,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Trees/RedBlackTreeMap.cs
58,652,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Trees/RedBlackTreeMap.cs
58,633,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/BSNES/SNESGraphicsDecoder.cs
58,174,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Calculators/Emu83/Emu83.cs
57,1148,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/68000/Instructions/IntegerMath.cs
57,857,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/movie/tasproj/TasMovie.History.cs
57,750,maps/DotNet/Maps/StandaloneUnity/Unity/Core/Properties/Utility/TypeUtility.cs
57,619,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NDS/MelonDS.cs
57,475,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/GBHawk.IEmulator.cs
56,1942,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Media/Tape/CDT/CdtConverter.cs
56,954,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/DisplayManager/DisplayManagerBase.cs
56,832,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Hardware/Disk/NECUPD765.FDD.cs
56,664,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Trees/RedBlackTree.cs
56,664,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Trees/RedBlackTree.cs
56,625,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/CustomControls/InputRoll/InputRoll.Drawing.cs
56,584,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/CDL.cs
56,374,maps/DotNet/Maps/ManuallyCollected/AVL_Tree.cs
55,833,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Hardware/Disk/NECUPD765.FDD.cs
55,730,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Media/Disk/FloppyDisk.cs
